[0, '****************', '************************************************', '111110100001011000111110110110111010100100100110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[1971, '****************', '************************************************', '111110100001011000111110100011011000010100110001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0100000000000000']
[1972, '****************', '************************************************', '111110100001011000111110001010010111100011111001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1111100000000000']
[1973, '****************', '************************************************', '111110100001011000111110100101101111000010111101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000010']
[1974, '****************', '************************************************', '111110100001011000111110111100100010111001000100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000010000000']
[1975, '****************', '************************************************', '111110100001011000111110111001110111010010101100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0010000000000000']
[1976, '****************', '111110100001011000111110000100101001000110011101', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00000110', '****************', '0100000000000000']
[1977, '****************', '111110100001011000111110100111000101011101100111', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00010001', '****************', '1000000000000000']
[1978, '****************', '111110100001011000111110001110010110100010100011', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00000110', '****************', '0000000000010000']
[1979, '****************', '************************************************', '111110100001011000111110010011110111111001110100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000001']
[1980, '****************', '************************************************', '111110100001011000111110100110101111110011111011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000001000']
[1981, '****************', '************************************************', '111110100001011000111110001111101100110011100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000001000100']
[1982, '****************', '************************************************', '111110100001011000111110101110101011000001100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000010000000000']
[1983, '****************', '************************************************', '111110100001011000111110100000001110101000000011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000010000000']
[1984, '****************', '************************************************', '111110100001011000111110101101001111100011011100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000001']
[1985, '****************', '************************************************', '111110100001011000111110110000000111001101010011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000100000000']
[1986, '****************', '111110100001011000111110011010110010100110110110', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00010001', '****************', '0000000000001000']
[1987, '****************', '************************************************', '111110100001011000111110001001000111110011110111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0001000000000000']
[1988, '****************', '111110100001011000111110000101100010011001101100', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00010001', '****************', '1111100000000000']
[1989, '****************', '************************************************', '111110100001011000111110101111110110100101011101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000001000000']
[1990, '****************', '111110100001011000111110001101100100101001000101', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101110', '********************************', '******', '00010001', '****************', '0000000000000100']
[1991, '****************', '************************************************', '111110100001011000111110101110100111010101110000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000100000000']
[1992, '****************', '************************************************', '111110100001011000111110001001001010111110111101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000100000']
[1993, '****************', '************************************************', '111110100001011000111110001110110000001001101010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1100000000000000']
[1994, '****************', '************************************************', '111110100001011000111110100001011000100010110000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000100000000000']
[1995, '****************', '************************************************', '111110100001011000111110010010000001011101101010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000011']
[1996, '****************', '************************************************', '111110100001011000111110001111101011101001111100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000001000000000']
[1997, '****************', '************************************************', '111110100001011000111110111100101010110100110111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1000000000000000']
[1998, '****************', '************************************************', '111110100001011000111110111000000110000110001010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0100000000000000']
[1999, '****************', '************************************************', '111110100001011000111110110100000110001010010100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1111000000000000']
[2000, '****************', '************************************************', '111110100001011000111110111100001100111100100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000001000']
[2001, '****************', '111110100001011000111110100111110001111100001111', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00010001', '****************', '0000000001000100']
[2002, '****************', '************************************************', '111110100001011000111110100010000000010100100000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000001000']
[2003, '****************', '111110100001011000111110100011100010110111111000', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00000110', '****************', '0000001000000000']
[2004, '****************', '************************************************', '111110100001011000111110010101011011101101011101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000100000000']
[2005, '****************', '************************************************', '111110100001011000111110110101110000000101001010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000100000000000']
[2006, '****************', '************************************************', '111110100001011000111110001101111010011100010110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000000']
[2007, '****************', '************************************************', '111110100001011000111110011110110001010001001000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000100']
[2008, '****************', '************************************************', '111110100001011000111110001110010010000000111110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000010000']
[2009, '****************', '111110100001011000111110101000111110000101011100', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00010001', '****************', '1111110000000000']
[2010, '****************', '************************************************', '111110100001011000111110111001100110001011111100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000010000000000']
[2011, '****************', '************************************************', '111110100001011000111110010100010100000011010010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000100']
[2012, '****************', '111110100001011000111110100011100100111010011101', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00000110', '****************', '0010000000000000']
[2013, '****************', '************************************************', '111110100001011000111110101011010000000011011111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1000000000000000']
[2014, '****************', '111110100001011000111110010010011101100111000001', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00010001', '****************', '0000000000000010']
[2015, '****************', '************************************************', '111110100001011000111110011011000011010100110011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000010']
[2016, '****************', '************************************************', '111110100001011000111110010000110011100001001000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0010000000000000']
[2017, '****************', '************************************************', '111110100001011000111110101101010111110111101101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0100000000000000']
[2018, '****************', '************************************************', '111110100001011000111110100111101110001100011110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000010000000']
[2019, '****************', '************************************************', '111110100001011000111110110101101110010010110110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000100000000000']
[2020, '****************', '111110100001011000111110100110001011010100110010', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00010001', '****************', '0000000001000011']
[2021, '****************', '************************************************', '111110100001011000111110001110101011100010100011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000010000000000']
[2022, '****************', '************************************************', '111110100001011000111110110000111101110011011010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000001']
[2023, '****************', '************************************************', '111110100001011000111110100101011111101010100000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000100000']
[2024, '****************', '************************************************', '111110100001011000111110100010010010110010000010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111111100000000']
[2025, '****************', '111110100001011000111110001111111011001101001000', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010101100', '********************************', '******', '00000110', '****************', '0000000010000000']
[2026, '****************', '************************************************', '111110100001011000111110110100010010010111100011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0001000000000000']
[2027, '****************', '************************************************', '111110100001011000111110001111001011011001100110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000010']
[2028, '****************', '111110100001011000111110100011010001011010010000', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00010001', '****************', '0000100000000000']
[2029, '****************', '************************************************', '111110100001011000111110010001000111011000010100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000001000000000']
[2030, '****************', '111110100001011000111110100000001110100110010110', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00000110', '****************', '0000000001000011']
[2031, '****************', '************************************************', '111110100001011000111110110000000110010010000101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0010000000000000']
[2032, '****************', '************************************************', '111110100001011000111110100001101111001111101000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000110111011']
[2033, '****************', '************************************************', '111110100001011000111110011111111000100000000111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000001000100']
[2034, '****************', '************************************************', '111110100001011000111110101001001111010100000010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000011']
[2035, '****************', '************************************************', '111110100001011000111110100000001101011001001001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0001000000000000']
[2036, '****************', '************************************************', '111110100001011000111110011011001010100000110010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111110000000000']
[2037, '****************', '************************************************', '111110100001011000111110100010101110111101010010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000001000']
[2038, '****************', '111110100001011000111110010100110001010011101011', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00000110', '****************', '0000000100000000']
[2039, '****************', '************************************************', '111110100001011000111110100001001101001011011011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111111111111100']
[2040, '****************', '111110100001011000111110110110100011100010000001', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00000110', '****************', '0000000010000000']
[2041, '****************', '************************************************', '111110100001011000111110010100110001001101110100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000100']
[2042, '****************', '************************************************', '111110100001011000111110010000010011111110000110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000001']
[2043, '****************', '111110100001011000111110110111101101111100001000', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00010001', '****************', '0000000000100000']
[2044, '****************', '************************************************', '111110100001011000111110010010101001110010011111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1111111111100000']
[2045, '****************', '************************************************', '111110100001011000111110011101101100110011011010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000001']
[2046, '****************', '************************************************', '111110100001011000111110001100001011010110010100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000100000000']
[2047, '****************', '111110100001011000111110000001101110101011000100', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00010001', '****************', '0000000010000000']
[2048, '****************', '111110100001011000111110000110100001100100101010', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010100100', '********************************', '******', '00000110', '****************', '0100000000000000']
[2049, '****************', '************************************************', '111110100001011000111110110000110010000110010101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0100000000000000']
[2050, '****************', '************************************************', '111110100001011000111110100010010000010100010100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1110000000000000']
[2051, '****************', '************************************************', '111110100001011000111110101111011001100000010100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1000000000000000']
[2052, '****************', '************************************************', '111110100001011000111110110100001011000000110010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000010']
[2053, '****************', '************************************************', '111110100001011000111110111111100001000001110110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000010000000000']
[2054, '****************', '************************************************', '111110100001011000111110010000100000000001010110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000010000']
[2055, '****************', '************************************************', '111110100001011000111110010001110011110011110010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000100000']
[2056, '****************', '************************************************', '111110100001011000111110110010001101001001110110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000100000000000']
[2057, '****************', '************************************************', '111110100001011000111110101110111101011100001010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0010000000000000']
[2058, '****************', '************************************************', '111110100001011000111110010011010001110110000000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000001000000000']
[2059, '****************', '************************************************', '111110100001011000111110111101011011001000110110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111111111111000']
[2060, '****************', '************************************************', '111110100001011000111110111000110011011000111011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000000']
[2061, '****************', '111110100001011000111110010111011101110110100001', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00010001', '****************', '0000000000000001']
[2062, '****************', '************************************************', '111110100001011000111110000110111101101010110011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1000000000000000']
[2063, '****************', '************************************************', '111110100001011000111110011110101100001101110101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000010000000']
[2064, '****************', '************************************************', '111110100001011000111110011100111100011000100110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000010000000000']
[2065, '****************', '************************************************', '111110100001011000111110110100101101110011100111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000001000000000']
[2066, '****************', '************************************************', '111110100001011000111110000100001000010000000101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0100000000000000']
[2067, '****************', '111110100001011000111110000000010110001010011011', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00000110', '****************', '0000000100000000']
[2068, '****************', '************************************************', '111110100001011000111110110101001110011111001100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000001000']
[2069, '****************', '************************************************', '111110100001011000111110100111111101110011110100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0001000000000000']
[2070, '****************', '************************************************', '111110100001011000111110010100000000101110110010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0010000000000000']
[2071, '****************', '************************************************', '111110100001011000111110000100101011110010101000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000000']
[2072, '****************', '************************************************', '111110100001011000111110001111011010001100100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000010000']
[2073, '****************', '************************************************', '111110100001011000111110011011011110001101101001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1000000000000000']
[2074, '****************', '************************************************', '111110100001011000111110010001101101101011001111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000010000']
[2075, '****************', '************************************************', '111110100001011000111110011100000001001111110010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000100']
[2076, '****************', '************************************************', '111110100001011000111110000001011000001100110011', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000010000000000']
[2077, '****************', '************************************************', '111110100001011000111110001011010101011110101000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0010000000000000']
[2078, '****************', '************************************************', '111110100001011000111110001101100000111111101111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0100000000000000']
[2079, '****************', '************************************************', '111110100001011000111110011000110010110001110111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000100']
[2080, '****************', '************************************************', '000000010000000000000000001110111001000110010010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000100000000000']
[2081, '****************', '************************************************', '111110100001011000111110001010111100100010100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111111111111110']
[2082, '****************', '************************************************', '111110100001011000111110110100011110100010100000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000010']
[2083, '****************', '************************************************', '111110100001011000111110000000011000011100001110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000010000000']
[2084, '****************', '************************************************', '111110100001011000111110101001000011010001100001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1111111111111110']
[2085, '****************', '************************************************', '111110100001011000111110100010100000100100100010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000001']
[2086, '****************', '111110100001011000111110000101110110110111110001', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00000110', '****************', '0000000001000000']
[2087, '****************', '************************************************', '111110100001011000111110100100000111111101111100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '1111111111111100']
[2088, '****************', '************************************************', '111110100001011000111110010011011100001010001100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000010']
[2089, '****************', '************************************************', '111110100001011000111110010011000011110011100100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0001000000000000']
[2090, '****************', '111110100001011000111110011000101010000101000110', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00010001', '****************', '0000000110111011']
[2091, '****************', '111110100001011000111110011001010001111011010001', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00000110', '****************', '1100000000000000']
[2092, '****************', '************************************************', '111110100001011000111110100011111000111110000010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000100000000']
[2093, '****************', '************************************************', '111110100001011000111110111110111101101010010101', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000001000']
[2094, '****************', '************************************************', '111110100001011000111110101110110001111111010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000100000000000']
[2095, '****************', '************************************************', '111110100001011000111110001010101010110010100100', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000100']
[2096, '****************', '111110100001011000111110000100011001111110011011', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00000110', '****************', '1111111111111000']
[2097, '****************', '************************************************', '111110100001011000111110101010000001011111101010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000100000']
[2098, '****************', '************************************************', '111110100001011000111110011010101000001011100001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000001000100']
[2099, '****************', '************************************************', '111110100001011000111110111000010101001001010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000001000000000']
[2100, '****************', '111110100001011000111110001001001110111110101010', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010110101', '********************************', '******', '00000110', '****************', '1111111110000000']
[2101, '****************', '************************************************', '111110100001011000111110001101101011100000010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000001000']
[2102, '****************', '************************************************', '111110100001011000111110001000110100001000001001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000100000000']
[2103, '****************', '************************************************', '111110100001011000111110101000110110100111001010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000010000000']
[2104, '****************', '111110100001011000111110111011110001000001111101', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010111001', '********************************', '******', '00000110', '****************', '0000000100000000']
[2105, '****************', '************************************************', '111110100001011000111110011100001111001011001111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000001']
[2106, '****************', '************************************************', '111110100001011000111110000010011000100101010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000000000100']
[2107, '****************', '************************************************', '111110100001011000111110100010111011010110010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000100000']
[2108, '****************', '111110100001011000111110111000010101000001000010', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010111001', '********************************', '******', '00010001', '****************', '0000000001000011']
[2109, '****************', '************************************************', '111110100001011000111110001011010100010010110111', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0001000000000000']
[2110, '****************', '************************************************', '111110100001011000111110000011111110000001010001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '0000000001000011']
[2111, '****************', '************************************************', '111110100001011000111110011001011011101010010110', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000010000000']
[2112, '****************', '************************************************', '111110100001011000111110111101000010101101110001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000000000100']
[2113, '****************', '111110100001011000111110001010100110100100110101', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010111001', '********************************', '******', '00000110', '****************', '0000010000000000']
[2114, '****************', '************************************************', '111110100001011000111110010010100100011100000001', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000000001000000']
[2115, '****************', '111110100001011000111110100100011010101110011111', '************************************************', '0000100000000000', '************', '***', '10000000010011000010011010111001', '********************************', '******', '00000110', '****************', '0100000000000000']
[2116, '****************', '************************************************', '111110100001011000111110110111100000001100010010', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00000110', '****************', '1111111100000000']
[2117, '****************', '************************************************', '111110100001011000111110001110010010010000001000', '0000100000000000', '************', '***', '********************************', '01110011101000111011000110100111', '******', '00010001', '****************', '0000010000000000']
